4	15	org.neo4j.annotations.documented
2	54	org.neo4j.annotations.service
13	3	org.neo4j.capabilities
51	32	org.neo4j.codegen
16	1	org.neo4j.codegen.bytecode
49	219	org.neo4j.collection
25	101	org.neo4j.collection.trackable
9	274	org.neo4j.common
51	497	org.neo4j.configuration
8	17	org.neo4j.configuration.connectors
12	20	org.neo4j.configuration.helpers
4	3	org.neo4j.cursor
1480	76	org.neo4j.cypher
1465	138	org.neo4j.cypher.internal
72	1486	org.neo4j.cypher.internal.ast
6	9	org.neo4j.cypher.internal.ast.factory
4	2	org.neo4j.cypher.internal.ast.factory.neo4j
13	287	org.neo4j.cypher.internal.ast.semantics
9	29	org.neo4j.cypher.internal.cache
3	3	org.neo4j.cypher.internal.collection
229	32	org.neo4j.cypher.internal.compiler
10	1	org.neo4j.cypher.internal.compiler.ast.convert.plannerQuery
4	2	org.neo4j.cypher.internal.compiler.ast.convert.plannerQuery.composite
11	33	org.neo4j.cypher.internal.compiler.helpers
10	81	org.neo4j.cypher.internal.compiler.phases
189	40	org.neo4j.cypher.internal.compiler.planner
184	36	org.neo4j.cypher.internal.compiler.planner.logical
15	9	org.neo4j.cypher.internal.compiler.planner.logical.cardinality
11	9	org.neo4j.cypher.internal.compiler.planner.logical.cardinality.assumeIndependence
20	22	org.neo4j.cypher.internal.compiler.planner.logical.idp
2	3	org.neo4j.cypher.internal.compiler.planner.logical.limit
3	58	org.neo4j.cypher.internal.compiler.planner.logical.ordering
40	12	org.neo4j.cypher.internal.compiler.planner.logical.plans.rewriter
12	5	org.neo4j.cypher.internal.compiler.planner.logical.plans.rewriter.eager
61	91	org.neo4j.cypher.internal.compiler.planner.logical.steps
16	37	org.neo4j.cypher.internal.compiler.planner.logical.steps.index
4	25	org.neo4j.cypher.internal.config
8	14	org.neo4j.cypher.internal.evaluator
147	2846	org.neo4j.cypher.internal.expressions
100	183	org.neo4j.cypher.internal.expressions.functions
2	4	org.neo4j.cypher.internal.frontend.helpers
55	229	org.neo4j.cypher.internal.frontend.phases
8	7	org.neo4j.cypher.internal.frontend.phases.rewriting.cnf
32	723	org.neo4j.cypher.internal.ir
3	1	org.neo4j.cypher.internal.ir.converters
5	22	org.neo4j.cypher.internal.ir.helpers
3	8	org.neo4j.cypher.internal.ir.helpers.overlaps
11	2	org.neo4j.cypher.internal.javacompat
31	1918	org.neo4j.cypher.internal.logical.plans
2	50	org.neo4j.cypher.internal.macros
11	13	org.neo4j.cypher.internal.optionsmap
62	48	org.neo4j.cypher.internal.parser
1	69	org.neo4j.cypher.internal.parser.ast.util
15	86	org.neo4j.cypher.internal.parser.common.ast.factory
15	8	org.neo4j.cypher.internal.parser.javacc
7	0	org.neo4j.cypher.internal.parser.javacc.org.neo4j.cypher.internal.parser.javacc
14	1	org.neo4j.cypher.internal.parser.v5.ast.factory
40	175	org.neo4j.cypher.internal.physicalplanning
22	38	org.neo4j.cypher.internal.physicalplanning.ast
9	21	org.neo4j.cypher.internal.plandescription
1	2	org.neo4j.cypher.internal.plandescription.rewrite
9	182	org.neo4j.cypher.internal.planner.spi
5	7	org.neo4j.cypher.internal.planning
17	4	org.neo4j.cypher.internal.procs
4	1	org.neo4j.cypher.internal.profiling
8	14	org.neo4j.cypher.internal.result
79	162	org.neo4j.cypher.internal.rewriting
10	126	org.neo4j.cypher.internal.rewriting.conditions
64	84	org.neo4j.cypher.internal.rewriting.rewriters
467	259	org.neo4j.cypher.internal.runtime
11	60	org.neo4j.cypher.internal.runtime.ast
1	7	org.neo4j.cypher.internal.runtime.debug
289	504	org.neo4j.cypher.internal.runtime.interpreted
131	237	org.neo4j.cypher.internal.runtime.interpreted.commands
4	23	org.neo4j.cypher.internal.runtime.interpreted.commands.convert
99	195	org.neo4j.cypher.internal.runtime.interpreted.commands.expressions
6	39	org.neo4j.cypher.internal.runtime.interpreted.commands.predicates
11	9	org.neo4j.cypher.internal.runtime.interpreted.commands.showcommands
137	610	org.neo4j.cypher.internal.runtime.interpreted.pipes
18	35	org.neo4j.cypher.internal.runtime.interpreted.pipes.aggregation
2	8	org.neo4j.cypher.internal.runtime.interpreted.profiler
6	17	org.neo4j.cypher.internal.runtime.memory
105	5	org.neo4j.cypher.internal.runtime.slotted
5	5	org.neo4j.cypher.internal.runtime.slotted.aggregation
31	6	org.neo4j.cypher.internal.runtime.slotted.expressions
1	12	org.neo4j.cypher.internal.runtime.slotted.helpers
61	87	org.neo4j.cypher.internal.runtime.slotted.pipes
5	3	org.neo4j.cypher.internal.spi
83	2636	org.neo4j.cypher.internal.util
3	288	org.neo4j.cypher.internal.util.attribution
9	31	org.neo4j.cypher.internal.util.helpers
31	736	org.neo4j.cypher.internal.util.symbols
2	2	org.neo4j.cypher.internal.util.tailrec
1	2	org.neo4j.cypher.messages
7	92	org.neo4j.cypher.operations
6	44	org.neo4j.cypher.result
86	180	org.neo4j.dbms
11	20	org.neo4j.dbms.api
44	135	org.neo4j.dbms.database
16	58	org.neo4j.dbms.systemgraph
44	372	org.neo4j.exceptions
19	86	org.neo4j.function
10	17	org.neo4j.gis.spatial.index
9	14	org.neo4j.gis.spatial.index.curves
18	420	org.neo4j.gqlstatus
142	936	org.neo4j.graphdb
9	43	org.neo4j.graphdb.event
4	6	org.neo4j.graphdb.facade
7	7	org.neo4j.graphdb.impl
4	4	org.neo4j.graphdb.impl.traversal
15	195	org.neo4j.graphdb.schema
7	16	org.neo4j.graphdb.security
4	25	org.neo4j.graphdb.spatial
41	40	org.neo4j.graphdb.traversal
5	23	org.neo4j.hashing
101	176	org.neo4j.index.internal.gbptree
24	19	org.neo4j.internal.counts
58	352	org.neo4j.internal.helpers
34	167	org.neo4j.internal.helpers.collection
6	26	org.neo4j.internal.helpers.progress
48	96	org.neo4j.internal.id
18	3	org.neo4j.internal.id.indexed
3	8	org.neo4j.internal.id.range
167	1453	org.neo4j.internal.kernel.api
25	228	org.neo4j.internal.kernel.api.exceptions
12	115	org.neo4j.internal.kernel.api.exceptions.schema
52	57	org.neo4j.internal.kernel.api.helpers
40	24	org.neo4j.internal.kernel.api.helpers.traversal
21	18	org.neo4j.internal.kernel.api.helpers.traversal.ppbfs
4	12	org.neo4j.internal.kernel.api.helpers.traversal.ppbfs.hooks
11	17	org.neo4j.internal.kernel.api.helpers.traversal.productgraph
13	208	org.neo4j.internal.kernel.api.procs
25	162	org.neo4j.internal.kernel.api.security
8	14	org.neo4j.internal.nativeimpl
135	32	org.neo4j.internal.recordstorage
3	5	org.neo4j.internal.recordstorage.id
5	4	org.neo4j.internal.recordstorage.idx
4	2	org.neo4j.internal.recordstorage.idx.value
5	12	org.neo4j.internal.recordstorage.indexcommand
62	876	org.neo4j.internal.schema
15	130	org.neo4j.internal.schema.constraints
35	326	org.neo4j.io.fs
8	14	org.neo4j.io.fs.watcher
3	13	org.neo4j.io.layout.recordstorage
6	3	org.neo4j.io.marshal
6	58	org.neo4j.io.memory
92	867	org.neo4j.io.pagecache
30	28	org.neo4j.io.pagecache.impl
21	31	org.neo4j.io.pagecache.impl.muninn
3	11	org.neo4j.io.pagecache.prefetch
30	159	org.neo4j.io.pagecache.tracing
4	10	org.neo4j.io.pagecache.tracing.cursor
1291	1371	org.neo4j.kernel
261	894	org.neo4j.kernel.api
40	272	org.neo4j.kernel.api.exceptions
4	42	org.neo4j.kernel.api.exceptions.index
25	34	org.neo4j.kernel.api.exceptions.schema
34	7	org.neo4j.kernel.api.impl.fulltext
8	1	org.neo4j.kernel.api.impl.fulltext.analyzer
45	120	org.neo4j.kernel.api.impl.index
5	4	org.neo4j.kernel.api.impl.index.backup
5	10	org.neo4j.kernel.api.impl.index.collector
60	33	org.neo4j.kernel.api.impl.schema
4	4	org.neo4j.kernel.api.impl.schema.populator
5	7	org.neo4j.kernel.api.impl.schema.reader
11	3	org.neo4j.kernel.api.impl.schema.trigram
24	16	org.neo4j.kernel.api.impl.schema.vector
5	2	org.neo4j.kernel.api.impl.schema.vector.codec
23	273	org.neo4j.kernel.api.index
4	3	org.neo4j.kernel.api.net
13	79	org.neo4j.kernel.api.procedure
15	42	org.neo4j.kernel.api.query
6	5	org.neo4j.kernel.api.security
1	2	org.neo4j.kernel.api.security.exception
34	191	org.neo4j.kernel.database
151	204	org.neo4j.kernel.impl.api
7	19	org.neo4j.kernel.impl.api.chunk
3	4	org.neo4j.kernel.impl.api.commit
58	96	org.neo4j.kernel.impl.api.index
6	21	org.neo4j.kernel.impl.api.index.stats
10	13	org.neo4j.kernel.impl.api.parallel
3	2	org.neo4j.kernel.impl.api.security
11	14	org.neo4j.kernel.impl.api.state
4	7	org.neo4j.kernel.impl.api.transaction.serial
2	2	org.neo4j.kernel.impl.context
10	17	org.neo4j.kernel.impl.core
44	49	org.neo4j.kernel.impl.coreapi
7	5	org.neo4j.kernel.impl.coreapi.internal
31	3	org.neo4j.kernel.impl.coreapi.schema
11	42	org.neo4j.kernel.impl.factory
132	70	org.neo4j.kernel.impl.index.schema
7	12	org.neo4j.kernel.impl.index.schema.config
13	28	org.neo4j.kernel.impl.locking
5	1	org.neo4j.kernel.impl.locking.forseti
63	26	org.neo4j.kernel.impl.newapi
7	13	org.neo4j.kernel.impl.pagecache
25	146	org.neo4j.kernel.impl.query
5	3	org.neo4j.kernel.impl.security
107	395	org.neo4j.kernel.impl.store
16	32	org.neo4j.kernel.impl.store.format.standard
18	364	org.neo4j.kernel.impl.store.record
6	6	org.neo4j.kernel.impl.storemigration
259	228	org.neo4j.kernel.impl.transaction
222	191	org.neo4j.kernel.impl.transaction.log
18	20	org.neo4j.kernel.impl.transaction.log.checkpoint
73	147	org.neo4j.kernel.impl.transaction.log.entry
2	2	org.neo4j.kernel.impl.transaction.log.entry.legacy
7	7	org.neo4j.kernel.impl.transaction.log.entry.v42
8	10	org.neo4j.kernel.impl.transaction.log.entry.v520
7	24	org.neo4j.kernel.impl.transaction.log.entry.v57
9	6	org.neo4j.kernel.impl.transaction.log.enveloped
34	56	org.neo4j.kernel.impl.transaction.log.files
11	10	org.neo4j.kernel.impl.transaction.log.pruning
10	4	org.neo4j.kernel.impl.transaction.log.reverse
2	5	org.neo4j.kernel.impl.transaction.log.rotation.monitor
18	6	org.neo4j.kernel.impl.transaction.state.storeview
42	81	org.neo4j.kernel.impl.util
21	41	org.neo4j.kernel.impl.util.collection
22	52	org.neo4j.kernel.internal
10	16	org.neo4j.kernel.internal.event
10	90	org.neo4j.kernel.lifecycle
10	14	org.neo4j.kernel.monitoring
5	4	org.neo4j.kernel.monitoring.tracing
24	14	org.neo4j.kernel.recovery
12	177	org.neo4j.lock
41	278	org.neo4j.logging
11	35	org.neo4j.logging.internal
28	706	org.neo4j.memory
1	8	org.neo4j.messages
6	28	org.neo4j.notifications
72	26	org.neo4j.procedure
23	6	org.neo4j.procedure.builtin
32	10	org.neo4j.procedure.impl
16	179	org.neo4j.scheduler
133	1054	org.neo4j.storageengine
113	1007	org.neo4j.storageengine.api
3	93	org.neo4j.storageengine.api.cursor
10	15	org.neo4j.storageengine.api.enrichment
4	19	org.neo4j.storageengine.api.format
14	94	org.neo4j.storageengine.api.txstate
6	16	org.neo4j.storageengine.migration
10	32	org.neo4j.storageengine.util
5	62	org.neo4j.string
5	64	org.neo4j.time
17	150	org.neo4j.token
8	108	org.neo4j.token.api
22	338	org.neo4j.util
13	29	org.neo4j.util.concurrent
122	1713	org.neo4j.values
73	1011	org.neo4j.values.storable
7	45	org.neo4j.values.utils
25	463	org.neo4j.values.virtual
